Chapter,Verse, Explanation
1,11,"""Let us talk about the last and fifth stage of purification, which Maharshi called Smriti by name. According to Yoga Darshan, the meaning of Smriti is the recall of the experiences of the past in one's lifetime, such as having crossed the road for an elderly mother two years ago and the memory coming back today. In Yoga Darshan, this is called the last and fifth stage of purification. The authoritative commentary on Yoga Darshan by Vedavyasa is available, according to which our mind (intellect and ego) recollects both knowledge and objects. The essence of an object is inextricably linked to its knowledge, and it is this essence that explains the pure form of both the object and its knowledge. This essence then gives rise to samskara (impression), and samskara gives rise to Smriti (memory). The memories that arise in the waking state are true to the subject matter, while those that arise in the dream state are related to imaginary subjects. Such memories, which lead to pleasure, pain, and attachment, are to be abandoned. In the highest state of Yoga, Samadhi, all these memories are obstacles; therefore, the practitioner should abandon them through the natural practice of renunciation and detachment. The memories that lead to knowledge, renunciation, riches, and righteous conduct are not obstacles but aids. With time, they will naturally cease."""
1,12,"So far, we have understood the guidelines, definition, and types of yoga in detail. This sutra is one of the important sutras of Yoga Darshan. Its literal meaning is that through the practice of abstention from worldly desires and the experience of detachment, the citta (mind) can be calmed. In other words, these waves of thought can be subdued effortlessly. Here, we will try to understand the practice and detachment one by one because if these are not understood correctly, progress in yoga is impossible. I have written earlier that most people have misunderstood the definition of yoga and the ways to achieve a state of yoga. Let me put it simply - the practice means a sincere effort or the pursuit of perfection. Detachment means effortless pursuit or inner purification. Through practice, we maintain the purity of our actions and also handle our life effortlessly. Yoga is the name of complete perfection - here, both the physical body and inner life are taken care of. It is not possible to achieve progress in yoga until we are earnest and sincere, because both go hand in hand. If your body is not healthy, your entry into yoga is impossible, and if your body may appear healthy but your mind is not, a little practice may lead to a downfall, and there is a higher probability that you will refrain from practice again. Therefore, we establish ourselves in yoga through the medium of practice and detachment. This helps to suppress our complex thoughts and emotions, which cause us suffering and create turmoil in our minds. According to the commentary of Vyasa, the mind is likened to a river that flows in two directions. One branch flows for the sake of redemption and the other for the sake of sin. The branch that flows for redemption is the one that takes the seeker to the path of self-realization and is inclined towards the path of discrimination. The branch that flows towards worldly pursuits is the one that leads towards unawareness and is inclined towards the path of ignorance. Through detachment, the latter branch can be dried up, and through the practice of constant contemplation, the power of discrimination can be awakened. In this way, the thoughts and emotions of the mind can be suppressed under the control of practice and detachment."
1,13,"physical, mental, and spiritual. 

Physical strength is obtained through regular practice of yoga, physical exercise, proper sleeping and waking schedule, and observing daily routines. 

Mental strength is obtained through good thoughts, doing good deeds, and fulfilling small desires. 

Spiritual strength is obtained when a person's thoughts, words, and actions become identical, and when the ego is shed. 

When these three types of strength gradually develop in a devotee, enthusiasm also begins to manifest. 

The simultaneous manifestation of strength and enthusiasm results in the development of a natural control over the mind, intellect, senses, and consciousness. 

If a devotee has not developed these three types of strength, but has only developed enthusiasm, it will not be beneficial. 

However, when a devotee has developed all three types of strength, enthusiasm will naturally arise, and he will be able to make rapid progress in his spiritual practice. 

When a devotee feels the presence of strength and enthusiasm, he should carefully use them to propel himself forward on the path of yoga. 

If he does not know how to use them, he may encounter problems. 

Physical progress in life comes from strength and enthusiasm, and by using these same qualities in spiritual practice, one can attain spiritual progress and become detached. 

Here, practice refers to the strength and enthusiasm that arise from regular yoga practice, good food, good conduct, and good thoughts. 

If a devotee has obtained physical and mental strength through regular yoga practice and good habits, he"
1,14,"To establish a seekers' foundation in yoga, Maharsi says that a single practice cannot bring about any result. It is necessary to practice with dedication and persistence over a long period of time, with brahmacharya, faith, tapas, and vijnanapada. Only such a practice can establish a strong foundation. A seeker has both strength and enthusiasm, but sometimes he makes mistakes in yoga. Therefore, it is necessary to practice with persistence and dedication over a long period of time.

We often see that people give up after making some effort and then regret it. Many young people come to me and say that they try to practice brahmacharya, but soon some samskaras arise suddenly and their energy is destroyed in the storm. Then, they feel guilty and their entire mind becomes polluted.

This is because the foundation of their practices was weak. If we practice with shraddha, tapas, vijnanapada, and brahmacharya, we can remain stable even in the face of samskaras. The youth should understand that they need to strengthen their foundation, even if they fall several times. They should learn to balance and collect themselves to achieve their goal.

In the sutra, there is a beautiful word - satkarma. When a guest comes to your home, you welcome them with satkarma. You show them respect by asking them to sit comfortably, offering them good food and drink, and ensuring they have a restful stay. You would even borrow resources from a neighbor if needed.

If your mind does not find joy in welcoming a guest, you will not be able to serve them well. You can welcome a guest only when your heart is filled with faith and devotion, and you find joy in their arrival. You will not be able to protect your teachings unless your mind is filled with faith and devotion. Only when you welcome your practice with such faith and devotion can you protect it, and such a practice protects you."
1,15,"We are trying to understand the true form of detachment, i.e., the actual state of detachment. As I have said earlier, one must surely try to understand detachment and practice with precision, because these are very important for gaining momentum in yoga practice. Maharshi says, ""A person with controlled senses and steadfast in his vision and hearing, devoid of attachment and longing, is said to be in a state of detachment."" The things seen are (drisht) - subjects of the eyes (worldly beauty), subjects of taste (delicious food, drink), wealth, etc. As long as one is attached to these seen things, detachment cannot be attained. However, it is not that we should not accept the aids that lead us to the path of yoga, because those who are dwelling on the path of yoga are not to be rejected. It is the individual seeker who must determine this for himself. The things heard are (anushravik) - subjects that are heard through scriptures and whose direct experience the seeker does not have. If one's mind is enticed by the fruits of one's actions or is inclined towards them in any way, this state is also an obstacle to yoga and destroys detachment. Therefore, one should understand these heard things solely through the vision of pure knowledge. When the seeker's mind is detached from both types of subjects and moves ahead in life practice, a natural detachment arises within him, which, along with discrimination and practice, leads him to the path of samadhi. Detachment, in simple terms, is being free from attachment, void of desires, and free from attachment. According to Yoga philosophy, this is also known as aparigraha, and it is a means to attained samprajnata samadhi."
1,16,"""This transcendent and elevated renunciation is different from the renunciation we discussed earlier, in which the sadhaka, having realized his true self, becomes free from desire and attachment to the three gunas. This is an extremely high state that is extremely difficult to describe and explain. What are the gunas? Gunas are of three kinds. Renouncing even these three gunas is called Sat-tattva-Vairagya. Where the sadhaka remains only in the state of Chit, only in the state of Jnana, and only in the state of Vritti. According to the commentary of Vyasa, this is considered the highest stage of knowledge. It is called the highest stage of knowledge because the sadhaka experiences that anything that is experienced beyond his own Self is mere maya, i.e., it has come from outside. Therefore, he becomes detached from everything except himself. It can be said that the Self-realization of the jiva-atma makes only the attachment to oneself known, and detachment from everything else is achieved. Thinking about oneself is the greatest riddle, and hence, practice and renunciation do not take away from this thought, but rather make it more powerful, because through this practice and renunciation, practice and renunciation become more firm."""
1,17,"The student asks Maharshi Patanjali how the consciousness that is restrained by the practice of non-attachment (vairagya) and the exercise of the practice of concentration (abhyas) comes to know the fourfold direct experience (samp-rjñāta samādhi). Maharshi Patanjali explains that as one advances on the path of Yoga, one's mind passes through four different stages or states, and it is through the experience of these four states that one achieves the fourfold direct experience. These four states are: vitarka, vicāra, ānanda, and asmitā. 

The fourfold direct experience is not merely a mechanical process but is brought about by the careful examination of the three factors: grahṇā, grahaṇa, and pramāṇa. By understanding these three factors, one can gain insight into the nature of the human being. 

The last and fourth state is asmitā. When the individual self realizes its own true nature and separates itself from the world, and becomes one with its own self, this state is known as asmitā. When the student experiences this state, they come to know the ultimate reality."
1,18,"It is necessary to clearly understand the subtle distinctions between samprajnata and asamprajnata samadhi. Therefore, we ask Maharshi Patel that, having reached samprajnata samadhi, how can one attain asamprajnata samadhi, and what methods, practices, and disciplines are necessary to achieve it? Maharshi Patel says that when all thoughts have ceased, or when all thoughts have stopped, and the aspirant has reached the state through the means of renunciation (vairagya), and keeps practicing and repeating it, then what is left are only samskaras (impressions). These impressions are different from those of samprajnata samadhi. 

Let us analyze this thoroughly. An aspirant is practicing yoga with intense faith, following the eightfold path of Ashtanga Yoga, with well-understood theory and practical knowledge. He also knows the five types of vrittis (thought-waves) and the method to stop the complex vrittis in life. He believes that these five types of complex vrittis are the main obstacles on his spiritual path, and with continuous practice and renunciation, he can overcome them.

He knows that there are two types of samadhi, samprajnata and asamprajnata. Having known this, he experiences samprajnata samadhi through the sequence of vitark, vicar, ananda, and asmita. When, through intense practice, repeated practice, and repetition, he reaches a state where all thoughts in his mind have ceased for some time, then that state is called asamprajnata samadhi.

But even in this state, some samskaras remain. These are known as the samskaras of nirodha, or the impressions of restraint. Just as soon as asamprajnata samadhi is shattered, the aspirant remembers that he was in a state where everything was empty, and there was no thought, only an experience. This experience is impossible without the absence of both samskaras and samskara-generated smriti (memory). Therefore, the state that remains after all thoughts have ceased, and only samskaras are left, is known as asamprajnata samadhi."
1,19,"""Before the beginning of the discourse, Maharshi Vyas says that this unselfish samadhi comes in two forms. One form of unselfish samadhi is that of a yogi who is different from the yogi who has attained vidya and prakriti-laya. The meaning of 'bhava' here is the world, and the philosophical meaning of 'pratyaya' becomes the true knowledge, i.e. the true knowledge of the world. Hence, the yogi who has attained the bhava-pratyaya samadhi is said to have attained true knowledge and is different from the yogi who has attained vidya and prakriti-laya.

The yogi who is embodied (vidya) is one who has overcome the ego, attachment, and identification with the body, uses the body only for its utility, and considers oneself non-doer and accepts God as the doer. They consider the body to be mortal and worship and pray to the one God. They are also an upadhi (an attribute) in the spiritual journey, as they were given to Raja Janak first, hence they are also known as Vidhe Raj.

On the other hand, the yogi who has attained prakriti-laya is one who understands and knows the three gunas (attributes) of nature, which are born of the three gunas and ultimately resolves into the shashvat tattva, i.e., the one God, and worships and prays to Him.

In the bhava-pratyaya samadhi, one experiences the ultimate and highest state of yoga, known as kaivalya. As life is filled with innumerable battles and struggles, if this samadhi breaks, this experience becomes broken and does not remain continuous."""
1,20,"""The above sutra states that the samadhi of vidhayogis and prakritilayas is called bhavapratyaya. Then, the question arises as to how the samadhi of yogis who are different from these is formed, which is called upayapratyaya. Maharshi says that for such yogis, the upayapratyaya samadhi requires the presence of five essentials in their life. These are shraddha, which means unconditional surrender; vairagya, which means renunciation; smriti, which means memory; prajna, which means wisdom; and samadhi, which means concentration. According to Vyasa's commentary, shraddha means the inclination of the mind or a strong desire that arises from a deep sense of surrender and operates like a mother caring for and nourishing the yogi. The one who has shraddha, filled with the feeling of ananya, becomes the devotee. He gets the power of enthusiasm and can bring out the good impressions of past births and experiences, which enables him to regain the path of samadhi. When we connect our present birth with past births, the entire futile struggle stops and the yogi's mind becomes concentrated. Then, he does not run after anything; instead, he becomes one with his consciousness. Prakasha prajna, or the enlightened consciousness, manifests within him. From prakasha prajna, arises vivekah, or discrimination, which, along with regular abhyasa and parivrajya, leads to the attainment of asamprajnata samadhi. This is a systematic and scientific sequence, and without following it, entry into samadhi is completely futile."""
1,21,"""In yoga, the intensity of desire is according to the three main principles of soft, gentle, and intense methods. Soft, gentle, and intense methods also have three types each. Similarly, middle and intense methods should be understood. Now, Yogis who follow the intense method quickly achieve realization in yoga through this sutra explained by Maharsi to his disciples.

Those with deep and high wisdom, detachment, and practice quickly attain realization and its fruit. Maharsi says that if a practitioner practices detachment and practice with complete wisdom, they can attain realization soon without any time limit. This has been explained by Vyasa in two words - samadhi-labha and samadhi-phala. Samadhi-labha is the attainment of realization through intense practice and detachment, and if there is intense desire, realization can be achieved quickly. However, the duration of realization can vary depending on the effort of Yogis, who have nine types. This has also been said by Maharsi Kapil in a Sankhya Sutra - ""Na kala na niyamo vama-devavat"" which means that just as Vama-Deva achieved realization and Kaivalya in a very short time through continuous and intense practice, any other yogi can also achieve it.

The fruit of realization is the experience or state that the practitioner achieves after realizing it, such as having an experience of God, self-realization, controlling thoughts, emotions, and actions, experiencing bliss beyond pleasure and pain, and being liberated from all attachment and achieving eternal bliss."""
1,22,"""The elevated practice and detachment mentioned in the previous sutra also have three categories - mild, medium, and intense - just like the objects of the world. Therefore, even those who have practiced and detached themselves according to these three categories will get quicker and more elevated self-realization and its fruits. The sage is trying to convey through this sutra that everything in life gets categorized into three - mild, medium, and intense. Similarly, the practice and detachment have three aspects - mild, medium, and intense - depending on which, the practitioner gets self-realization and its fruits. The intensity of self-realization and detachment in getting the fruits is correlated with the previous birth's impressions. If the previous birth's impressions are favorable, self-realization is achieved quickly, but if they are unfavorable, it takes more time. The sage emphasizes that one's own efforts, the environment of the current birth, and the quality of the company one keeps are all crucial factors. If the company one keeps is good, leading to divine contemplation and a positive path, it is helpful in achieving self-realization. On the other hand, bad company leads to worldly attachment and unholy actions. The individual's own longing or desire also plays a crucial role - if it is meek, self-realization may take more time, but if it is excessive, self-realization can come quickly."""
1,23,"""The disciple asks, driven by curiosity, if there are any other means, apart from what has been mentioned earlier, to achieve rapid realization. Maharshi Patanjali replies that even Ishwar-pranidhana can lead to rapid realization. Let us understand the meaning of the first verse: 

Being aware that oneself is subject to Ishwar in all ways, surrendering oneself to Ishwar, becoming a means, and being free from all motivations and desires, doing all actions as worship, offering, and service to Ishwar. This is called Ishwar-pranidhana, and it bestows rapid realization.

Ishwar-pranidhana is the highest devotion. It is the highest surrender to one's Ishta. Ishwar-pranidhana is the only state that can remove all the limitations of a human being. Whether it is the complexities of life or the impurities of the mind, fear, worry, anxiety, guilt, shame, or anything else, it all comes to an end in this state. However, to attain this state, one has to have the greatest courage, which is complete reliance on Ishwar, and this is the greatest protection for the seeker.

Ishwar-pranidhana is the purest and most straightforward sadhana methodology, where there is nothing to discuss or explain. If one considers it as the origin of ease and simplicity, then it can be said that it is Ishwar-pranidhana, because it brings about ease, simplicity, fearlessness, and independence. This stage of Ishwar-pranidhana is bound to come on the path of sadhana.

Ishwar-pranidhana is the art of living in the shelter of which one is protected from all worries, unknown fears, anxiety, and complexities. Blessed is the life that begins to live on the foundation of Ishwar-pranidhana."""
1,24,"""The person who is separate from deeds such as klesha (five types of klesha), karma, vipaka, and ashaya, is referred to as Ishvara. The five types of klesha are: 1. Avidya, 2. Asmita, 3. Raga, 4. Dvesha, 5. Abhinivesha. Karma is also classified into three categories: 1. Nimit, 2. Nimitta, and 3. Kamy. In yogic philosophy, karma is also categorized into three: 1. Shukla karma, 2. Ashukla karma, and 3. Shukla-ashukla karma. The Bhagavad Gita categorizes karma into three: 1. Karma, 2. A-karma, and 3. Vikarma. When the results of karma start to manifest, it is referred to as vipaka. Ishvara, since He performs karma without desire, is not affected by karma and is thus free from vipaka. When one experiences the results of karma, desires arise, which are referred to as ashaya in yogic philosophy. Sometimes, ashaya is also referred to as the desire that arises when one is yet to experience the results of karma. Ishvara is free from all desires, therefore He is ashaya-free. Since individuals cannot escape their own desires, karma, and its fruits through their desires, Ishvara is referred to as the special individual by Maharshi Patanjali."""
1,25,"""It is said in the above sloka that God is the ultimate reality. Maharishi Patanjali says that God is the embodiment of Absolute Knowledge, which is beyond all limitations and is in its culmination. 'Atishaya' means that which is infinite and boundless. When someone says something that surpasses the ordinary, it is called Atishaya. 'Niratisaya' means that which is beyond the sphere of increase and decrease, beyond all permutations. Thus, God's Omniscience is beyond all limitations, beyond time and space. 'Atishaya' is the state of God's Omniscience, which is beyond all human comprehension. It is not that God is only Omniscient about Knowledge, but He is also the embodiment of all good qualities, natural qualities, and all types of Auspiciousness, and He is the foundation of all Auspiciousness."""
1,26,"He is the Guru of all spiritual masters, Brahmins, and Gurus born before Him, because He is not bound by time and is beyond it. It is not that He exists in some time and does not exist in another - He is present in all time. He exists before creation and after destruction. He is considered the Guru of all Gurus because He is eternal. He is the first teacher, and He imparted knowledge to the four original Rishis. He is the Guru of the four Vedas, and He is the one who illuminated the self-knowledge and spiritual understanding of the Rishis. The four Rishis are Agni, Aditya, Vayu, and Angiras.

As mentioned in the Upanishads, ""I, a seeker of truth, take refuge in the God who created Brahma and illuminated the Rishis with the knowledge of the Vedas and their meaning."" Even the ancient Brahmins, who glorified the greatness of Brahma, had the God as their Guru. He guided them on the right path and inspired them to follow the righteous path. From the worldly perspective, I would say that God is the Guru of all Gurus, but in the world, the Guru is an embodiment and representative of that Supreme God.

This is a fundamental truth that God is the ultimate Guru, but the Guru who takes us to that God is also true. This is also mentioned in a famous couplet by Kabir:

""There are two Gurus, God and the one who shows us God. The one who showed me God, I consider as my Guru."""
1,27,"""Maharshi had explained about God in the previous four sutras. The curious disciples asked Maharshi what God's true name was. If we want to remember His name, what should we call Him? Maharshi replied that God's true name is Aum, also known as Pranav. Aum is also referred to as the primary sound. The sound of Aum is spread all over the universe. In one sense, the pronunciation of God's name is what maintains the entire creation and the universe. Earlier, a sutra had come, 'Ishvarapranidhanadva' (1/23), which means that one attains self-realization quickly through devotion to God and surrendering all actions and their fruits to Him. God's devotion involves the importance of chanting His name, so knowing His true name is also necessary. This was mentioned in this sutra, keeping this in mind. In future sutras, too, the term 'Ishvarapranidhan' will come up again. When we call out to our deity, adored one, or beloved, their remembrance becomes clearer. That's why the name becomes dearer to us, and His natural qualities begin to manifest within us. Maharshi explained how to chant God's name in the next session."""
1,28,"""The repetition of the Om mantra, along with the meaning of the words and one's emotions, should be done repeatedly. There are many types of repetition, including four main categories: vocal repetition, subtle repetition, mental repetition, and wordless repetition. Vocal repetition involves chanting loudly, while subtle repetition is done by whispering softly, and mental repetition is done quietly, focusing on the meaning of the words. Wordless repetition occurs when one's mind is fully absorbed in the act of repetition and the words become meaningless.

Vocal repetition involves repeating the words loudly, such as 'Om Om Om', and is believed to bring success in one's communication. Subtle repetition is done by slowly and quietly repeating the words, and is believed to bring inner peace and contemplation. Mental repetition involves repeating the words in one's mind, and is believed to be a thousand times more effective than other forms of repetition. Wordless repetition occurs when one's mind is fully absorbed in the act of repetition and the words become meaningless, and is believed to bring about true devotion and connection with the divine.

It's important to remember that repetition should be done with the correct meaning and emotions, otherwise, it will not bring the expected benefits. The repetition of the Om mantra, in particular, is believed to have various meanings and benefits, and should be understood and practiced accordingly. It's also important to note that it's not just the repetition of the words, but the emotions and meaning behind them that make it effective."""
1,29,"What realisation comes from this subject, Maharishi explains, quoting this sutra. The beauty of these yoga sutras is that each sutra is connected to the previous one in some way. In this series, Maharishi has described the description of God's true name, Om, and how to chant it. Therefore, a natural curiosity arose in the minds of the disciples as to what benefit or realisation they would gain by chanting it with meaning. Maharishi says that by doing so or by dedicating oneself to God, a practitioner can break free from not only the obstacles that arise on the path to yoga, but also from the obstacles that arise from ignorance, along with the obstacles that arise on the path to yoga. Initially, by dedicating oneself to God, the practitioner starts to experience their own self, like ""Who am I?"", ""What is the purpose of my coming to this world?"", ""From where did I come?"" and so on, and this leads to a sense of liberation and makes it easier to progress further on the path to yoga. As we move forward on any path, we encounter obstacles, and similarly, a practitioner who walks the path of yoga also encounters obstacles. We will discuss these obstacles in detail in the next session, and look at each obstacle separately, and also examine the ways to overcome them. Therefore, by doing japa along with meaning, a practitioner gains knowledge of oneself and becomes free from the obstacles that arise on the path to yoga. A term used in this sutra is 'pratybakarna'. Its meaning is that when the consciousness of the self detaches from objects and becomes introverted, this tendency of the self is called 'pratybakarna'. Another term used by Maharishi in this sutra is 'antaraya'. In yoga, the meaning of 'antaraya' is 'obstacle', 'vibration', or 'blockage'."
