chapter,verse,sanskrit,translation,explanation
1,11,अयनेषु च सर्वेषु यथाभागमवस्थिताः| भीष्ममेवाभिरक्षन्तु भवन्तः सर्व एव हि  || 1.11 || ,"Therefore, do all of you, stationed in your respective positions in the several divisions of the army, protect Bhishma alone.","Duryodhana, after praising the prowess of Bhīṣma, further considered that others might think that they had been considered less important, so in his usual diplomatic way, he tried to adjust the situation in the above words. He emphasized that Bhīṣmadeva was undoubtedly the greatest hero, but he was an old man, so everyone must especially think of his protection from all sides. He might become engaged in the fight, and the enemy might take advantage of his full engagement on one side. Therefore, it was important that other heroes would not leave their strategic positions and allow the enemy to break the phalanx. Duryodhana clearly felt that the victory of the Kurus depended on the presence of Bhīṣmadeva. He was confident of the full support of Bhīṣmadeva and Droṇācārya in the battle because he well knew that they did not even speak a word when Arjuna's wife Draupadī, in her helpless condition, had appealed to them for justice while she was being forced to strip naked in the presence of all the great generals in the assembly. Although he knew that the two generals had some sort of affection for the Pāṇḍavas, he hoped that all such affection would now be completely given up by them, as was customary during the gambling performances."
1,12,तस्य संजनयन्हर्षं कुरुवृद्धः पितामहः| सिंहनादं विनद्योच्चैः शङ्खं दध्मौ प्रतापवान्  || 1.12 || ,"His glorious grandsire, the oldest of the Kauravas, roared like a lion to cheer Duryodhana and blew his conch.","The grandsire of the Kuru dynasty could understand the inner meaning of the heart of his grandson Duryodhana, and out of his natural compassion for him he tried to cheer him by blowing his conchshell very loudly, befitting his position as a lion. Indirectly, by the symbolism of the conchshell, he informed his depressed grandson Duryodhana that he had no chance of victory in the battle, because the Supreme Lord Kṛṣṇa was on the other side. But still, it was his duty to conduct the fight, and no pains would be spared in that connection."
1,13,ततः शङ्खाश्च भेर्यश्च पणवानकगोमुखाः| सहसैवाभ्यहन्यन्त स शब्दस्तुमुलोऽभवत्  || 1.13 || ,"Then, suddenly, conches, kettledrums, tabors, drums, and cow horns blared forth from the Kaurava side, and the sound was tremendous.",
1,14,ततः श्वेतैर्हयैर्युक्ते महति स्यन्दने स्थितौ| माधवः पाण्डवश्चैव दिव्यौ शङ्खौ प्रदध्मतुः  || 1.14 || ,"Then, Madhava (Krishna) and the son of Pandu (Arjuna), seated in the magnificent chariot yoked with white horses, blew divine conches.","In contrast with the conchshell blown by Bhīṣmadeva, the conchshells in the hands of Kṛṣṇa and Arjuna are described as transcendental. The sounding of the transcendental conchshells indicated that there was no hope of victory for the other side because Kṛṣṇa was on the side of the Pāṇḍavas. Jayas tu pāṇḍu-putrāṇāṁ yeṣāṁ pakṣe janārdanaḥ. Victory is always with persons like the sons of Pāṇḍu because Lord Kṛṣṇa is associated with them. And whenever and wherever the Lord is present, the goddess of fortune is also there because the goddess of fortune never lives alone without her husband. Therefore, victory and fortune were awaiting Arjuna, as indicated by the transcendental sound produced by the conchshell of Viṣṇu, or Lord Kṛṣṇa. Besides that, the chariot on which both the friends were seated was donated by Agni (the firegod) to Arjuna, and this indicated that this chariot was capable of conquering all sides, wherever it was drawn over the three worlds."
1,15,पाञ्चजन्यं हृषीकेशो देवदत्तं धनंजयः| पौण्ड्रं दध्मौ महाशङ्खं भीमकर्मा वृकोदरः  || 1.15 || ,"Hrishikesha blew the Panchajanya, Arjuna blew the Devadatta, and Bhima, the wolf-bellied doer of terrible deeds, blew the great conch Paundra.","Lord Kṛṣṇa is referred to as Hṛṣīkeśa in this verse because He is the owner of all senses. The living entities are part and parcel of Him, and, therefore, the senses of the living entities are also part and parcel of His senses. The impersonalists cannot account for the senses of the living entities, and therefore they are always anxious to describe all living entities as sense-less, or impersonal. The Lord, situated in the hearts of all living entities, directs their senses. But, He directs in terms of the surrender of the living entity, and in the case of a pure devotee He directly controls the senses. Here on the Battlefield of Kurukṣetra the Lord directly controls the transcendental senses of Arjuna, and thus His particular name of Hṛṣīkeśa. The Lord has different names according to His different activities. For example, His name is Madhusūdana because He killed the demon of the name Madhu; His name is Govinda because He gives pleasure to the cows and to the senses; His name is Vāsudeva because He appeared as the son of Vasudeva; His name is Devakīnandana because He accepted Devakī as His mother; His name is Yaśodānandana because He awarded His childhood pastimes to Yaśodā at Vṛndāvana; His name is Pārtha-sārathi because He worked as charioteer of His friend Arjuna. Similarly, His name is Hṛṣīkeśa because He gave direction to Arjuna on the Battlefield of Kurukṣetra. Arjuna is referred to as Dhanañjaya in this verse because he helped his elder brother in fetching wealth when it was required by the King to make expenditures for different sacrifices. Similarly, Bhīma is known as Vṛkodara because he could eat as voraciously as he could perform Herculean tasks, such as killing the demon Hiḍimba. So, the particular types of conchshell blown by the different personalities on the side of the Pāṇḍavas, beginning with the Lord's, were all very encouraging to the fighting soldiers. On the other side there were no such credits, nor the presence of Lord Kṛṣṇa, the supreme director, nor that of the goddess of fortune. So, they were predestined to lose the battle–and that was the message announced by the sounds of the conchshells."
1,16,अनन्तविजयं राजा कुन्तीपुत्रो युधिष्ठिरः| नकुलः सहदेवश्च सुघोषमणिपुष्पकौ  || 1.16 || ,"King Yudhishthira, the son of Kunti, blew the Anantavijaya; Nakula and Sahadeva blew the Sughosha and the Manipushpaka.",
1,17,काश्यश्च परमेष्वासः शिखण्डी च महारथः| धृष्टद्युम्नो विराटश्च सात्यकिश्चापराजितः  || 1.17 || ,"The king of Kasi, an excellent archer, Sikhandi, the mighty car-warrior, Dhrishtadyumna, Virata, and Satyaki, the unconquered.",
1,18,द्रुपदो द्रौपदेयाश्च सर्वशः पृथिवीपते| सौभद्रश्च महाबाहुः शङ्खान्दध्मुः पृथक्पृथक्  || 1.18 || ,"Drupada and the sons of Draupadi, O Lord of the Earth, and the son of Subhadra, the mighty-armed, blew their conches each separately.",
1,19,स घोषो धार्तराष्ट्राणां हृदयानि व्यदारयत्| नभश्च पृथिवीं चैव तुमुलो व्यनुनादयन्  || 1.19 || ,"The tumultuous sound rent the hearts of Dhritarashtra's party, reverberating through both heaven and earth.","When Bhīṣma and the others on the side of Duryodhana blew their respective conchshells, there was no heart-breaking on the part of the Pāṇḍavas. Such occurrences are not mentioned, but in this particular verse it is mentioned that the hearts of the sons of Dhṛtarāṣṭra were shattered by the sounds vibrated by the Pāṇḍavas' party. This is due to the Pāṇḍavas and their confidence in Lord Kṛṣṇa. One who takes shelter of the Supreme Lord has nothing to fear, even in the midst of the greatest calamity."
1,20,अथ व्यवस्थितान् दृष्ट्वा धार्तराष्ट्रान्कपिध्वजः| प्रवृत्ते शस्त्रसंपाते धनुरुद्यम्य पाण्डवः  || 1.20 || ,"Then, seeing the people of Dhritarashtra's party standing arrayed and the discharge of weapons about to begin, Arjuna, the son of Pandu whose ensign was a monkey, took up his bow and said the following to Krishna, O Lord of the Earth.","The battle was just about to begin. It is understood from the above statement that the sons of Dhṛtarāṣṭra were more or less disheartened by the unexpected arrangement of military force by the Pāṇḍavas, who were guided by the direct instructions of Lord Kṛṣṇa on the battlefield. The emblem of Hanumān on the flag of Arjuna is another sign of victory because Hanumān cooperated with Lord Rāma in the battle between Rāma and Rāvaṇa, and Lord Rāma emerged victorious. Now both Rāma and Hanumān were present on the chariot of Arjuna to help him. Lord Kṛṣṇa is Rāma Himself, and wherever Lord Rāma is, His eternal servitor Hanumān and His eternal consort Sītā, the goddess of fortune, are present. Therefore, Arjuna had no cause to fear any enemies whatsoever. And above all, the Lord of the senses, Lord Kṛṣṇa, was personally present to give him direction. Thus, all good counsel was available to Arjuna in the matter of executing the battle. In such auspicious conditions, arranged by the Lord for His eternal devotee, lay the signs of assured victory."
1,21,हृषीकेशं तदा वाक्यमिदमाह महीपते| सेनयोरुभयोर्मध्ये रथं स्थापय मेऽच्युत  || 1.21 || ,"Arjuna said, ""O Krishna, place my chariot in the middle between the two armies, so that I may behold those who stand here, desirous to fight, and know with whom I must fight when the battle is about to commence.""",
1,22,यावदेतान्निरीक्षेऽहं योद्धुकामानवस्थितान्| कैर्मया सह योद्धव्यमस्मिन्रणसमुद्यमे  || 1.22 || ,"Arjuna said, ""O Krishna, place my chariot in the middle between the two armies, so that I may behold those who stand here, desirous to fight, and know with whom I must fight when the battle is about to commence.""",
1,23,योत्स्यमानानवेक्षेऽहं य एतेऽत्र समागताः| धार्तराष्ट्रस्य दुर्बुद्धेर्युद्धे प्रियचिकीर्षवः  || 1.23 || ,"For I desire to observe those who are assembled here to fight, wishing to please in battle the evil-minded Duryodhana—the son of Dhritarashtra.","It was an open secret that Duryodhana wanted to usurp the kingdom of the Pāṇḍavas by evil plans, in collaboration with his father, Dhṛtarāṣṭra. Therefore, all persons who had joined the side of Duryodhana must have been birds of the same feather. Arjuna wanted to see them in the battlefield before the fight was begun, just to learn who they were, but he had no intention of proposing peace negotiations with them. It was also a fact that he wanted to see them to make an estimate of the strength which he had to face, although he was quite confident of victory because Kṛṣṇa was sitting by his side."
1,24,एवमुक्तो हृषीकेशो गुडाकेशेन भारत| सेनयोरुभयोर्मध्ये स्थापयित्वा रथोत्तमम्  || 1.24 || ,"Sanjaya said, Thus addressed by Arjuna, Krishna stationed the best of chariots, O Dhritarashtra, in the midst of the two armies.","In this verse Arjuna is referred to as Guḍākeśa. Guḍāka means sleep, and one who conquers sleep is called guḍākeśa. Sleep also means ignorance. So Arjuna conquered both sleep and ignorance because of his friendship with Kṛṣṇa. As a great devotee of Kṛṣṇa, he could not forget Kṛṣṇa even for a moment, because that is the nature of a devotee. Either in waking or in sleep, a devotee of the Lord can never be free from thinking of Kṛṣṇa's name, form, quality and pastimes. Thus a devotee of Kṛṣṇa can conquer both sleep and ignorance simply by thinking of Kṛṣṇa constantly. This is called Kṛṣṇa consciousness, or samādhi. As Hṛṣīkeśa, or the director of the senses and mind of every living entity, Kṛṣṇa could understand Arjuna's purpose in placing the chariot in the midst of the armies. Thus He did so, and spoke as follows."
1,25,भीष्मद्रोणप्रमुखतः सर्वेषां च महीक्षिताम्| उवाच पार्थ पश्यैतान्समवेतान्कुरूनिति  || 1.25 || ,"In front of Bhishma and Drona, and all the rulers of the earth, he said: ""O Arjuna, son of Pritha, behold these Kurus gathered together.""","As the Supersoul of all living entities, Lord Kṛṣṇa could understand what was going on in the mind of Arjuna. The use of the word Hṛṣīkeśa in this connection indicates that He knew everything. And the word Pārtha, or the son of Kuntī or Pṛthā, is also similarly significant in reference to Arjuna. As a friend, He wanted to inform Arjuna that because Arjuna was the son of Pṛthā, the sister of His own father Vasudeva, He had agreed to be the charioteer of Arjuna. Now what did Kṛṣṇa mean when He told Arjuna to ""behold the Kurus""? Did Arjuna want to stop there and not fight? Kṛṣṇa never expected such things from the son of His aunt Pṛthā. The mind of Arjuna was thus predicated by the Lord in friendly joking."
1,26,तत्रापश्यत्स्थितान्पार्थः पितृ़नथ पितामहान्| आचार्यान्मातुलान्भ्रातृ़न्पुत्रान्पौत्रान्सखींस्तथा  || 1.26 || ,"Then, Arjuna (son of Pritha) saw there (in the armies) stationed fathers, grandfathers, teachers, maternal uncles, brothers, sons, grandsons, and friends.","On the battlefield Arjuna could see all kinds of relatives. He could see persons like Bhūriśravā, who were his father's contemporaries, grandfathers Bhīṣma and Somadatta, teachers like Droṇācārya and Kṛpācārya, maternal uncles like Śalya and Śakuni, brothers like Duryodhana, sons like Lakṣmaṇa, friends like Aśvatthāmā, well-wishers like Kṛtavarmā, etc. He could see also the armies which contained many of his friends."
1,27,श्वशुरान्सुहृदश्चैव सेनयोरुभयोरपि| तान्समीक्ष्य स कौन्तेयः सर्वान्बन्धूनवस्थितान्  || 1.27 || ,"He saw fathers-in-law and friends in both the armies. The son of Kunti, Arjuna, seeing all those kinsmen thus standing arrayed, spoke sorrowfully, deeply filled with pity.",
1,28,कृपया परयाऽऽविष्टो विषीदन्निदमब्रवीत्| दृष्ट्वेमं स्वजनं कृष्ण युयुत्सुं समुपस्थितम्  || 1.28 || ,"Arjuna said, ""O Krishna, seeing my kinsmen arrayed here, eager to fight,","Any man who has genuine devotion to the Lord has all the good qualities which are found in godly persons or in the demigods, whereas the nondevotee, however advanced he may be in material qualifications by education and culture, lacks in godly qualities. As such, Arjuna, just after seeing his kinsmen, friends and relatives on the battlefield, was at once overwhelmed by compassion for them who had so decided to fight amongst themselves. As far as his soldiers were concerned, he was sympathetic from the beginning, but he felt compassion even for the soldiers of the opposite party, foreseeing their imminent death. And so thinking, the limbs of his body began to quiver, and his mouth became dry. He was more or less astonished to see their fighting spirit. Practically the whole community, all blood relatives of Arjuna, had come to fight with him. This overwhelmed a kind devotee like Arjuna. Although it is not mentioned here, still one can easily imagine that not only were Arjuna's bodily limbs quivering and his mouth drying up, but that he was also crying out of compassion. Such symptoms in Arjuna were not due to weakness but to his softheartedness, a characteristic of a pure devotee of the Lord. It is said therefore: yasyāsti bhaktir bhagavaty akiñcanā sarvair guṇais tatra samāsate surāḥ harāv abhaktasya kuto mahad-guṇā mano-rathenāsati dhāvato bahiḥ ""One who has unflinching devotion for the Personality of Godhead has all the good qualities of the demigods. But one who is not a devotee of the Lord has only material qualifications that are of little value. This is because he is hovering on the mental plane and is certain to be attracted by the glaring material energy."" (Bhāg. 5.18.12)"
1,29,सीदन्ति मम गात्राणि मुखं च परिशुष्यति| वेपथुश्च शरीरे मे रोमहर्षश्च जायते  || 1.29 || ,"My limbs fail, my mouth is parched, my body quivers, and my hair stands on end.","There are two kinds of trembling of the body, and two kinds of standings of the hair on end. Such phenomena occur either in great spiritual ecstasy or out of great fear under material conditions. There is no fear in transcendental realization. Arjuna's symptoms in this situation are out of material fear– namely, loss of life. This is evident from other symptoms also; he became so impatient that his famous bow Gāṇḍīva was slipping from his hands, and, because his heart was burning within him, he was feeling a burning sensation of the skin. All these are due to a material conception of life."
1,30,गाण्डीवं स्रंसते हस्तात्त्वक्चैव परिदह्यते| न च शक्नोम्यवस्थातुं भ्रमतीव च मे मनः  || 1.30 || ,"The Gandiva slips from my hand, and my skin burns all over; I am unable to stand, and my mind is reeling, as it were.","Due to his impatience, Arjuna was unable to stay on the battlefield, and he was forgetting himself on account of the weakness of his mind. Excessive attachment for material things puts a man in a bewildering condition of existence. Bhayaṁ dvitīyābhiniveśataḥ: such fearfulness and loss of mental equilibrium take place in persons who are too affected by material conditions. Arjuna envisioned only unhappiness in the battlefield—he would not be happy even by gaining victory over the foe. The word nimitta is significant. When a man sees only frustration in his expectations, he thinks, ""Why am I here?"" Everyone is interested in himself and his own welfare. No one is interested in the Supreme Self. Arjuna is supposed to show disregard for self-interest by submission to the will of Kṛṣṇa, who is everyone's real self-interest. The conditioned soul forgets this, and therefore suffers material pains. Arjuna thought that his victory in the battle would only be a cause of lamentation for him."
1,31,निमित्तानि च पश्यामि विपरीतानि केशव| न च श्रेयोऽनुपश्यामि हत्वा स्वजनमाहवे  || 1.31 || ,"And I see ill omens, O Kesava. I do not see any good in slaying my kinsmen in battle.","Without knowing that one's self-interest is in Viṣṇu (or Kṛṣṇa), conditioned souls are attracted by bodily relationships, hoping to be happy in such situations. Under delusion, they forget that Kṛṣṇa is also the cause of material happiness. Arjuna appears to have even forgotten the moral codes for a kṣatriya. It is said that two kinds of men, namely the kṣatriya who dies directly in front of the battlefield under Kṛṣṇa's personal orders and the person in the renounced order of life who is absolutely devoted to spiritual culture, are eligible to enter into the sun-globe, which is so powerful and dazzling. Arjuna is reluctant even to kill his enemies, let alone his relatives. He thought that by killing his kinsmen there would be no happiness in his life, and therefore he was not willing to fight, just as a person who does not feel hunger is not inclined to cook. He has now decided to go into the forest and live a secluded life in frustration. But as a kṣatriya, he requires a kingdom for his subsistence, because the kṣatriyas cannot engage themselves in any other occupation. But Arjuna has had no kingdom. Arjuna's sole opportunity for gaining a kingdom lay in fighting with his cousins and brothers and reclaiming the kingdom inherited from his father, which he does not like to do. Therefore he considers himself fit to go to the forest to live a secluded life of frustration."
1,32,न काङ्क्षे विजयं कृष्ण न च राज्यं सुखानि च| किं नो राज्येन गोविन्द किं भोगैर्जीवितेन वा  || 1.32 || ,"I desire not victory, O Krishna, nor kingdom, nor pleasures.
What use is dominion to us, O Krishna, or pleasures or even life?",
1,33,येषामर्थे काङ्क्षितं नो राज्यं भोगाः सुखानि च| त इमेऽवस्थिता युद्धे प्राणांस्त्यक्त्वा धनानि च  || 1.33 || ,"Those for whose sake we desire kingdom, enjoyments, and pleasures stand here in battle, having renounced life and wealth.",
1,34,आचार्याः पितरः पुत्रास्तथैव च पितामहाः| मातुलाः श्चशुराः पौत्राः श्यालाः सम्बन्धिनस्तथा  || 1.34 || ,"Teachers, fathers, sons, and grandfathers, maternal uncles, fathers-in-law, grandsons, brothers-in-law, and other relatives—",
1,35,एतान्न हन्तुमिच्छामि घ्नतोऽपि मधुसूदन| अपि त्रैलोक्यराज्यस्य हेतोः किं नु महीकृते  || 1.35 || ,"These I do not wish to kill, O Krishna, even though they kill me, for the sake of dominion over the three worlds; leave alone killing them for the sake of the earth.""",
1,36,निहत्य धार्तराष्ट्रान्नः का प्रीतिः स्याज्जनार्दन| पापमेवाश्रयेदस्मान्हत्वैतानाततायिनः  || 1.36 || ,"By killing these sons of Dhritarashtra, what pleasure could be ours, O Janardana? Only sin would accrue to us from killing these felons.","According to Vedic injunctions there are six kinds of aggressors: 1) a poison giver, 2) one who sets fire to the house, 3) one who attacks with deadly weapons, 4) one who plunders riches, 5) one who occupies another's land, and 6) one who kidnaps a wife. Such aggressors are at once to be killed, and no sin is incurred by killing such aggressors. Such killing of aggressors is quite befitting for any ordinary man, but Arjuna was not an ordinary person. He was saintly by character, and therefore he wanted to deal with them in saintliness. This kind of saintliness, however, is not for a kṣatriya. Although a responsible man in the administration of a state is required to be saintly, he should not be cowardly. For example, Lord Rāma was so saintly that people were anxious to live in His kingdom, (Rāma-rājya), but Lord Rāma never showed any cowardice. Rāvaṇa was an aggressor against Rāma because he kidnapped Rāma's wife, Sītā, but Lord Rāma gave him sufficient lessons, unparalleled in the history of the world. In Arjuna's case, however, one should consider the special type of aggressors, namely his own grandfather, own teacher, friends, sons, grandsons, etc. Because of them, Arjuna thought that he should not take the severe steps necessary against ordinary aggressors. Besides that, saintly persons are advised to forgive. Such injunctions for saintly persons are more important than any political emergency. Arjuna considered that rather than kill his own kinsmen for political reasons, it would be better to forgive them on grounds of religion and saintly behavior. He did not, therefore, consider such killing profitable simply for the matter of temporary bodily happiness. After all, kingdoms and pleasures derived therefrom are not permanent, so why should he risk his life and eternal salvation by killing his own kinsmen? Arjuna's addressing of Kṛṣṇa as ""Mādhava,"" or the husband of the goddess of fortune, is also significant in this connection. He wanted to point out to Kṛṣṇa that, as husband of the goddess of fortune, He should not have to induce Arjuna to take up a matter which would ultimately bring about misfortune. Kṛṣṇa, however, never brings misfortune to anyone, to say nothing of His devotees."
1,37,तस्मान्नार्हा वयं हन्तुं धार्तराष्ट्रान्स्वबान्धवान्| स्वजनं हि कथं हत्वा सुखिनः स्याम माधव  || 1.37 || ,"Therefore, we should not kill the sons of Dhritarashtra, our relatives; for how can we be happy by killing our own kin, O Madhava (Krishna)?",
1,38,यद्यप्येते न पश्यन्ति लोभोपहतचेतसः| कुलक्षयकृतं दोषं मित्रद्रोहे च पातकम्  || 1.38 || ,"Though they, with intelligence overpowered by greed, see no evil in the destruction of families and no sin in hostility to friends,",
